,Unnamed: 0,Composition,Type,Experimental Structure,EP 1 element,EP 1 Ehull (eV/atom),EP 1 band gap (eV),EP 1 Entry id,EP 2 element,EP 2 Ehull (eV/atom),EP 2 band gap (eV),EP 2 Entry id,EP 3 element,EP 3 Ehull (eV/atom),EP 3 band gap (eV),EP 3 Entry id
323,13,LaMgIr,III_IV,OTHER,La,0.942,0,832425,Mg,0.713,0,841824,Ir,0.174,0,893112
324,14,UNiZn,III_IV,MoNiP (P-62m),U,1.075,0,875056,Zn,0.861,,914203,Ni,0.35,0,961323
325,15,SmCdTl,III_IV,AsHgK (P63/mmc),Sm,0.395,0,577711,Tl,0.124,0.556,573821,Cd,0.145,,985608
326,16,ZrIrGe,III_IV,MgSrSi (Pnma),Zr,0.776,0,987698,Ge,0.526,0,869025,Ir,0.188,0,894887
327,17,ScPdSb,I_II,Half Heusler (F-43m),Sc,0.556,0,563706,Sb,0.352,0.417,917564,Pd,0,0.424,898822
328,18,VMnSb,III_IV,OTHER,Mn,0.156,0,903796,V,0.452,0,839994,Sb,0.61,0,916820
329,19,SrCaGe,III_IV,MgSrSi (Pnma),Sr,0.695,0.563,975920,Ca,0.554,0.575,879186,Ge,0.069,0.587,869223
330,20,LaRhAl,III_IV,OTHER,La,1.146,0,831161,Al,0.728,0,942498,Rh,0.295,0,886389
331,21,MgCoGe,III_IV,OTHER,Mg,0.856,0,843070,Co,0.239,0,859230,Ge,0.404,0,868451
332,22,NdNiAl,III_IV,MoNiP (P-62m),Nd,0.999,0,966595,Al,0.707,0,943337,Ni,0.25,,958907
333,23,HoIrSn,III_IV,MoNiP (P-62m),Ho,0.943,0,891002,Sn,0.737,0,924258,Ir,0.154,0,893446
334,24,PrCdIn,III_IV,OTHER,Pr,0.462,0,836794,Cd,0.109,0,984596,In,0.153,0,889806
335,25,MgAuSn,I_II,Half Heusler (F-43m),Mg,0.338,0,842694,Sn,0.288,0,925515,Au,0,0,948069
